Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS02190	544	382	410	386	558	636
HC660_RS02195	208	68	86	78	134	194
HC660_RS02200	490	347	390	481	469	372
HC660_RS02205	169	118	180	205	170	149
HC660_RS02210	231	107	135	192	103	165
HC660_RS02215	145	36	53	82	136	52
HC660_RS02220	76	29	59	62	67	33
HC660_RS02225	992	1240	1084	1243	770	849
HC660_RS02230	14	4	1	5	28	6
HC660_RS02235	17	4	1	4	22	2
HC660_RS02240	544	335	628	560	588	415
HC660_RS02245	1334	360	995	919	1297	698
HC660_RS02250	327	131	207	195	272	237
HC660_RS02255	121	52	124	115	81	181
HC660_RS02260	1781	336	719	529	947	214
HC660_RS02265	556	168	207	189	320	32
HC660_RS02270	2860	808	1096	1012	1574	328
HC660_RS02275	328	151	127	110	189	97
HC660_RS02280	79	24	56	33	76	46
HC660_RS02285	79	30	54	45	67	49
HC660_RS02290	45	252	116	127	69	93
HC660_RS02295	397	552	322	569	302	593
HC660_RS02300	218	178	187	191	218	297
HC660_RS02305	545	295	364	338	652	495
HC660_RS02310	345	216	287	217	480	252
HC660_RS02315	441	137	240	212	626	174
HC660_RS02320	620	409	446	323	792	370
HC660_RS02325	617	558	574	596	742	549
HC660_RS02330	461	341	432	411	517	370
HC660_RS02335	80	55	84	74	70	136
HC660_RS02340	119	99	93	158	96	187
HC660_RS02345	2808	3131	2962	3276	3117	3766
HC660_RS02350	2108	2326	2036	2577	1990	2494
HC660_RS02355	574	349	654	552	501	270
HC660_RS02360	523	448	340	343	250	317
HC660_RS02365	108	186	164	95	56	146
HC660_RS02370	442	729	818	466	348	577
HC660_RS02375	189	387	480	235	171	287
HC660_RS02380	45	22	26	40	20	28
HC660_RS02385	904	2409	2053	2057	963	1665
HC660_RS02390	454	190	242	180	238	466
HC660_RS02395	268	381	466	360	348	421
HC660_RS02400	317	223	547	325	196	548
HC660_RS02405	78	16	26	35	51	36
HC660_RS02410	2608	2457	2502	2650	2963	2813
HC660_RS02415	419	106	117	144	201	181
HC660_RS02420	375	181	174	225	346	269
HC660_RS02425	1053	594	592	669	1090	932
HC660_RS02430	484	260	291	334	592	372
HC660_RS02435	1402	1597	1637	1865	1692	1780
HC660_RS02440	1344	984	1157	1354	1297	914
HC660_RS02445	26	1	0	6	17	6
HC660_RS02450	858	764	763	422	590	562
HC660_RS02455	131	60	119	94	60	89
HC660_RS02460	606	564	944	1021	433	883
HC660_RS02465	545	1557	1584	878	362	1038
HC660_RS02470	62	269	220	149	58	147
HC660_RS02475	140	150	82	182	163	225
HC660_RS02480	849	4646	3570	1676	702	2707
HC660_RS02485	13	2	2	6	8	9
HC660_RS02490	11	5	2	5	16	11
HC660_RS02495	31	6	9	13	25	17
HC660_RS02500	274	523	572	336	202	264
HC660_RS02505	328	321	349	419	255	343
HC660_RS02510	194	61	81	90	110	114
HC660_RS02515	42	24	33	27	47	20
HC660_RS02520	1429	1184	244	1384	856	193
HC660_RS02525	729	575	682	753	757	1117
HC660_RS02530	742	924	817	1411	532	752
HC660_RS02535	417	453	377	322	512	570
HC660_RS02540	569	593	522	628	731	847
HC660_RS02545	371	406	708	440	522	831
HC660_RS02550	265	219	334	354	286	326
HC660_RS02555	11	3	22	18	14	15
HC660_RS02560	170	384	783	412	184	319
HC660_RS02565	478	188	245	284	281	364
HC660_RS02570	926	1350	1941	1553	792	1353
HC660_RS02575	2105	2228	1974	2219	1916	3146
HC660_RS02580	1271	1570	1212	1523	1727	1819
HC660_RS02585	11131	13039	7645	10935	13412	15730
HC660_RS02590	907	271	730	558	390	660
HC660_RS02595	1995	870	1477	1352	1022	1789
HC660_RS02600	312	190	204	227	176	261
HC660_RS02605	68	70	76	73	65	83
HC660_RS02610	335	249	269	306	354	340
HC660_RS02615	482	275	268	237	485	262
HC660_RS02620	2466	2619	2698	2601	2251	3936
HC660_RS02625	2952	1827	2445	2433	2155	3620
HC660_RS02630	1094	388	586	650	772	778
HC660_RS02635	478	230	208	423	771	475
HC660_RS02640	449	413	412	579	727	581
HC660_RS02645	1771	769	1008	1383	2969	1345
HC660_RS02650	2289	1873	3094	2362	1802	2185
HC660_RS02655	2878	4662	6353	3582	2987	5386
HC660_RS02660	5695	6794	14446	5839	5405	9696
HC660_RS02665	3443	4155	9145	2932	3616	5604
HC660_RS02670	1775	1445	1816	1875	1847	2089
HC660_RS02675	29	9	12	8	18	20
HC660_RS02680	125	41	71	58	49	64
HC660_RS02685	4	2	6	10	3	3
HC660_RS02690	130	20	90	49	36	33
HC660_RS02695	336	218	244	271	167	394
HC660_RS02700	107	25	54	67	23	66
HC660_RS02705	72	3	33	6	32	18
HC660_RS02710	127	5	42	11	20	30
HC660_RS02715	11	3	6	4	2	6
HC660_RS02720	0	0	0	0	0	0
HC660_RS02725	0	0	0	0	0	0
HC660_RS02730	0	0	0	0	0	0
HC660_RS02735	0	0	0	0	0	0
HC660_RS02740	0	0	0	0	0	0
HC660_RS02745	0	0	0	0	0	0
HC660_RS02750	0	0	0	0	0	0
HC660_RS02755	0	0	0	0	0	0
HC660_RS02760	0	0	0	0	0	0
HC660_RS02765	0	0	0	0	0	0
HC660_RS02770	0	0	0	0	0	0
HC660_RS02775	0	0	0	0	0	0
HC660_RS02780	0	0	0	0	0	0
HC660_RS02785	0	0	0	0	0	0
HC660_RS02790	0	0	0	0	0	0
HC660_RS02795	0	0	0	0	0	0
HC660_RS02800	0	0	0	0	0	0
HC660_RS02805	0	0	0	0	0	0
HC660_RS02810	0	0	0	0	0	0
HC660_RS02815	0	0	0	0	0	0
HC660_RS02820	0	0	0	0	0	0
HC660_RS02825	0	0	0	0	0	0
HC660_RS02830	0	0	0	0	0	0
HC660_RS02835	0	0	0	0	0	0
HC660_RS02840	0	0	0	0	0	0
HC660_RS02845	0	0	0	0	0	0
HC660_RS02850	0	0	0	0	0	0
HC660_RS02855	0	0	0	0	0	0
HC660_RS02860	0	0	0	0	0	0
HC660_RS02865	0	0	0	0	0	0
HC660_RS02870	0	0	0	0	0	0
HC660_RS02875	0	0	0	0	0	0
HC660_RS02880	0	0	0	0	0	0
HC660_RS02885	0	0	0	0	0	0
HC660_RS02890	0	0	0	0	0	0
HC660_RS02895	0	0	0	0	0	0
HC660_RS02900	0	0	0	0	0	0
HC660_RS02905	0	0	0	0	0	0
HC660_RS02915	0	0	0	0	0	0
HC660_RS02920	0	0	0	0	0	0
HC660_RS02925	0	0	0	0	0	0
HC660_RS02930	8	6	3	2	2	3
HC660_RS21315	4	3	0	2	6	2
HC660_RS02935	169	107	132	217	114	174
HC660_RS02940	84	49	33	80	193	127
HC660_RS02945	146	26	29	109	104	137
HC660_RS02950	50	45	23	85	215	99
HC660_RS02955	52	34	32	34	96	95
HC660_RS21320	4	2	0	6	5	8
HC660_RS02960	337	69	110	464	324	337
HC660_RS02965	1979	1653	2336	2052	1722	2616
HC660_RS21325	262	198	229	674	527	418
HC660_RS02975	2864	890	1841	1979	2162	4946
HC660_RS02980	425	63	201	182	296	384
HC660_RS02985	2354	2253	3157	6270	7459	6936
HC660_RS02990	30	16	27	25	66	49
HC660_RS02995	1	0	0	0	3	3
HC660_RS03000	100	33	12	109	243	90
HC660_RS21330	24	21	11	49	52	49
HC660_RS03005	47	142	89	94	162	130
HC660_RS03010	100	132	153	204	213	184
HC660_RS03015	64	3	5	16	160	26
HC660_RS03020	121	56	54	252	287	179
HC660_RS03025	190	89	69	365	397	295
