Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS05860	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS05865	1304	794	895	1037	955	1716	725	741	590	293	449	1076
HC660_RS05870	2119	1053	1255	1421	1457	2127	1151	1178	917	652	654	1623
HC660_RS05875	337	162	219	249	216	441	158	218	130	194	145	242
HC660_RS05880	1451	461	904	1093	1024	1552	582	920	580	579	578	849
HC660_RS05885	162	41	102	119	119	156	82	88	80	55	58	102
HC660_RS05890	2	7	11	7	8	19	7	7	7	4	15	9
HC660_RS05895	28	12	16	6	17	14	20	11	9	4	8	16
HC660_RS05900	13	4	4	6	7	11	5	7	10	3	12	8
HC660_RS05905	47	21	38	33	25	33	25	25	28	21	30	37
HC660_RS05910	5	4	8	3	3	6	7	4	2	3	7	4
HC660_RS05915	4	1	3	3	2	5	1	6	4	4	11	8
HC660_RS05920	22	17	44	14	17	13	14	19	40	11	14	7
HC660_RS05925	7	2	1	3	3	1	2	8	7	2	1	4
HC660_RS05930	848	430	898	566	505	565	293	497	643	671	391	371
HC660_RS05935	469	420	288	266	218	386	292	169	143	320	336	289
HC660_RS05940	11328	6236	11560	6316	9880	11749	4195	7926	3437	9984	7395	7991
HC660_RS05945	12	3	5	0	1	3	1	8	6	3	8	7
HC660_RS05950	50	35	39	17	37	39	35	33	30	19	25	50
HC660_RS05955	67	28	41	47	25	72	54	39	44	35	45	65
HC660_RS05960	244	257	149	201	196	419	724	296	216	161	179	460
HC660_RS05965	184	57	113	89	69	149	59	84	97	48	50	114
HC660_RS05970	404	228	220	260	209	364	219	221	248	193	182	230
HC660_RS05975	170	104	96	95	107	113	70	83	113	37	72	118
HC660_RS05980	634	482	416	353	262	354	321	219	313	276	208	226
HC660_RS05985	55	45	18	21	29	46	16	20	30	11	14	37
HC660_RS05990	265	270	174	206	155	252	228	221	247	121	145	275
HC660_RS05995	76	66	46	54	51	82	100	56	89	69	67	96
HC660_RS06000	11	10	11	7	6	16	14	15	7	19	7	13
HC660_RS06005	6	10	6	6	10	5	5	10	8	4	11	12
HC660_RS06010	11	7	10	12	4	7	9	5	16	5	2	8
HC660_RS06015	3	3	1	3	4	1	2	2	0	0	2	1
HC660_RS06020	4	1	3	0	1	5	2	4	4	1	1	7
HC660_RS06025	7	3	2	0	7	3	5	3	4	9	5	8
HC660_RS06030	9	4	2	2	5	12	3	10	1	4	1	6
